2015-04-28,1.0000,1.0000,0%,封闭期,封闭期
2015-04-30,1.0000,1.0000,0%,封闭期,封闭期
2015-05-08,1.0000,1.0000,0%,封闭期,封闭期
2015-05-14,1.0000,1.0000,0%,封闭期,封闭期
2015-05-15,1.0000,1.0000,0.00%,限制大额申购,开放赎回
2015-05-18,1.0000,1.0000,0.00%,限制大额申购,开放赎回
2015-05-19,1.0000,1.0000,0.00%,限制大额申购,开放赎回
2015-05-20,1.0000,1.0000,0.00%,限制大额申购,开放赎回
2015-05-21,1.0000,1.0000,0.00%,限制大额申购,开放赎回
2015-05-22,1.0010,1.0010,0.10%,限制大额申购,开放赎回
2015-05-25,1.0010,1.0010,0.00%,限制大额申购,开放赎回
2015-05-26,1.0010,1.0010,0.00%,开放申购,开放赎回
2015-05-27,1.0010,1.0010,0.00%,开放申购,开放赎回
2015-05-28,1.0010,1.0010,0.00%,开放申购,开放赎回
2015-05-29,1.0010,1.0010,0.00%,开放申购,开放赎回
2015-06-01,1.0020,1.0020,0.10%,开放申购,开放赎回
2015-06-02,1.0020,1.0020,0.00%,开放申购,开放赎回
2015-06-03,1.0020,1.0020,0.00%,限制大额申购,开放赎回
2015-06-04,1.0020,1.0020,0.00%,限制大额申购,开放赎回
2015-06-05,1.0020,1.0020,0.00%,限制大额申购,开放赎回
2015-06-08,1.0030,1.0030,0.10%,限制大额申购,开放赎回
2015-06-09,1.0030,1.0030,0.00%,限制大额申购,开放赎回
2015-06-10,1.0040,1.0040,0.10%,限制大额申购,开放赎回
2015-06-11,1.0050,1.0050,0.10%,限制大额申购,开放赎回
2015-06-12,1.0050,1.0050,0.00%,限制大额申购,开放赎回
2015-06-15,1.0060,1.0060,0.10%,限制大额申购,开放赎回
2015-06-16,1.0060,1.0060,0.00%,限制大额申购,开放赎回
2015-06-17,1.0070,1.0070,0.10%,限制大额申购,开放赎回
2015-06-18,1.0070,1.0070,0.00%,限制大额申购,开放赎回
2015-06-19,1.0070,1.0070,0.00%,限制大额申购,开放赎回
2015-06-23,1.0080,1.0080,0.10%,限制大额申购,开放赎回
2015-06-24,1.0100,1.0100,0.20%,限制大额申购,开放赎回
2015-06-25,1.0100,1.0100,0.00%,限制大额申购,开放赎回
2015-06-26,1.0110,1.0110,0.10%,限制大额申购,开放赎回
2015-06-29,1.0110,1.0110,0.00%,限制大额申购,开放赎回
2015-06-30,1.0120,1.0120,0.10%,限制大额申购,开放赎回
2015-07-01,1.0120,1.0120,0.00%,限制大额申购,开放赎回
2015-07-02,1.0120,1.0120,0.00%,限制大额申购,开放赎回
2015-07-03,1.0110,1.0110,-0.10%,限制大额申购,开放赎回
2015-07-06,1.0120,1.0120,0.10%,限制大额申购,开放赎回
2015-07-07,1.0120,1.0120,0.00%,开放申购,开放赎回
2015-07-08,1.0110,1.0110,-0.10%,开放申购,开放赎回
2015-07-09,1.0120,1.0120,0.10%,开放申购,开放赎回
