2016-11-11,1.0001,1.0001,0%,封闭期,封闭期
2016-11-18,1.0002,1.0002,0%,封闭期,封闭期
2016-11-21,1.0002,1.0002,0.00%,封闭期,封闭期
2016-11-25,1.0006,1.0006,0%,封闭期,封闭期
2016-11-28,1.0001,1.0001,-0.05%,开放申购,开放赎回
2016-11-29,1.0004,1.0004,0.03%,开放申购,开放赎回
2016-11-30,1.0057,1.0057,0.53%,开放申购,开放赎回
2016-12-01,1.0057,1.0057,0.00%,开放申购,开放赎回
2016-12-02,0.9926,0.9926,-1.30%,开放申购,开放赎回
2016-12-05,0.9926,0.9926,0.00%,开放申购,开放赎回
2016-12-06,0.9837,0.9837,-0.90%,开放申购,开放赎回
2016-12-07,0.9882,0.9882,0.46%,开放申购,开放赎回
2016-12-08,0.9808,0.9808,-0.75%,开放申购,开放赎回
2016-12-09,0.9747,0.9747,-0.62%,开放申购,开放赎回
2016-12-12,0.9262,0.9262,-4.98%,开放申购,开放赎回
2016-12-13,0.9265,0.9265,0.03%,开放申购,开放赎回
2016-12-14,0.9166,0.9166,-1.07%,开放申购,开放赎回
2016-12-15,0.9216,0.9216,0.55%,开放申购,开放赎回
2016-12-16,0.9308,0.9308,1.00%,开放申购,开放赎回
2016-12-19,0.9232,0.9232,-0.82%,开放申购,开放赎回
2016-12-20,0.9239,0.9239,0.08%,开放申购,开放赎回
2016-12-21,0.9282,0.9282,0.47%,开放申购,开放赎回
2016-12-22,0.9262,0.9262,-0.22%,开放申购,开放赎回
2016-12-23,0.9168,0.9168,-1.01%,开放申购,开放赎回
2016-12-26,0.9206,0.9206,0.41%,开放申购,开放赎回
2016-12-27,0.9189,0.9189,-0.18%,开放申购,开放赎回
2016-12-28,0.9138,0.9138,-0.56%,开放申购,开放赎回
2016-12-29,0.9150,0.9150,0.13%,开放申购,开放赎回
2016-12-30,0.9162,0.9162,0.13%,开放申购,开放赎回
2016-12-31,0.9161,0.9161,-0.01%,开放申购,开放赎回
2017-01-03,0.9157,0.9157,-0.05%,开放申购,开放赎回
2017-01-04,0.9280,0.9280,1.34%,开放申购,开放赎回
2017-01-05,0.9251,0.9251,-0.31%,开放申购,开放赎回
2017-01-06,0.9160,0.9160,-0.98%,开放申购,开放赎回
2017-01-09,0.9161,0.9161,0.01%,开放申购,开放赎回
2017-01-10,0.9123,0.9123,-0.41%,开放申购,开放赎回
2017-01-11,0.9049,0.9049,-0.81%,开放申购,开放赎回
2017-01-12,0.8998,0.8998,-0.56%,开放申购,开放赎回
2017-01-13,0.8856,0.8856,-1.58%,开放申购,开放赎回
2017-01-16,0.8609,0.8609,-2.79%,开放申购,开放赎回
2017-01-17,0.8780,0.8780,1.99%,开放申购,开放赎回
2017-01-18,0.8679,0.8679,-1.15%,开放申购,开放赎回
2017-01-19,0.8672,0.8672,-0.08%,开放申购,开放赎回
2017-01-20,0.8835,0.8835,1.88%,开放申购,开放赎回
2017-01-23,0.8867,0.8867,0.36%,开放申购,开放赎回
2017-01-24,0.8752,0.8752,-1.30%,开放申购,开放赎回
2017-01-25,0.8789,0.8789,0.42%,开放申购,开放赎回
2017-01-26,0.8858,0.8858,0.79%,开放申购,开放赎回
2017-02-03,0.8815,0.8815,-0.49%,开放申购,开放赎回
