2016-02-03,1.0000,1.0000,0%,封闭期,封闭期
2016-02-05,1.0000,1.0000,0%,封闭期,封闭期
2016-02-19,1.0000,1.0000,0%,封闭期,封闭期
2016-02-26,1.0000,1.0000,0%,封闭期,封闭期
2016-03-04,1.0000,1.0000,0%,封闭期,封闭期
2016-03-07,1.0000,1.0000,0.00%,封闭期,封闭期
2016-03-08,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-09,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-10,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-11,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-14,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-15,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-16,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-17,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-18,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-21,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-22,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-23,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-24,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-03-25,1.0010,1.0010,0.10%,开放申购,开放赎回
2016-03-28,1.0010,1.0010,0.00%,开放申购,开放赎回
2016-03-29,1.0010,1.0010,0.00%,开放申购,开放赎回
2016-03-30,1.0010,1.0010,0.00%,开放申购,开放赎回
2016-03-31,1.0010,1.0010,0.00%,开放申购,开放赎回
2016-04-01,1.0010,1.0010,0.00%,开放申购,开放赎回
2016-04-05,1.0020,1.0020,0.10%,开放申购,开放赎回
2016-04-06,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-07,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-08,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-11,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-12,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-13,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-14,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-15,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-18,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-19,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-20,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-21,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-22,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-25,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-26,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-27,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-28,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-04-29,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-03,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-04,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-05,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-06,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-09,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-10,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-11,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-12,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-13,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-16,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-17,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-18,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-19,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-20,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-23,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-24,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-25,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-26,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-27,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-30,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-05-31,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-06-01,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-06-02,1.0030,1.0030,0.10%,开放申购,开放赎回
2016-06-03,1.0030,1.0030,0.00%,开放申购,开放赎回
2016-06-06,1.0030,1.0030,0.00%,开放申购,开放赎回
2016-06-07,1.0030,1.0030,0.00%,开放申购,开放赎回
2016-06-08,1.0030,1.0030,0.00%,开放申购,开放赎回
2016-06-13,1.0010,1.0010,-0.20%,开放申购,开放赎回
2016-06-14,1.0010,1.0010,0.00%,开放申购,开放赎回
2016-06-15,1.0020,1.0020,0.10%,开放申购,开放赎回
2016-06-16,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-06-17,1.0020,1.0020,0.00%,开放申购,开放赎回
2016-06-20,1.0030,1.0030,0.10%,开放申购,开放赎回
2016-06-21,1.0020,1.0020,-0.10%,开放申购,开放赎回
2016-06-22,1.0030,1.0030,0.10%,开放申购,开放赎回
2016-06-23,1.0030,1.0030,0.00%,开放申购,开放赎回
2016-06-24,1.0030,1.0030,0.00%,开放申购,开放赎回
2016-06-27,1.0030,1.0030,0.00%,开放申购,开放赎回
2016-06-28,1.0040,1.0040,0.10%,开放申购,开放赎回
2016-06-29,1.0030,1.0030,-0.10%,开放申购,开放赎回
2016-06-30,1.0030,1.0030,0.00%,开放申购,开放赎回
2016-07-01,1.0040,1.0040,0.10%,开放申购,开放赎回
2016-07-04,1.0050,1.0050,0.10%,开放申购,开放赎回
2016-07-05,1.0050,1.0050,0.00%,开放申购,开放赎回
2016-07-06,1.0050,1.0050,0.00%,开放申购,开放赎回
2016-07-07,1.0050,1.0050,0.00%,开放申购,开放赎回
2016-07-08,1.0050,1.0050,0.00%,开放申购,开放赎回
2016-07-11,1.0050,1.0050,0.00%,开放申购,开放赎回
2016-07-12,1.0060,1.0060,0.10%,开放申购,开放赎回
2016-07-13,1.0050,1.0050,-0.10%,开放申购,开放赎回
2016-07-14,1.0050,1.0050,0.00%,开放申购,开放赎回
2016-07-15,1.0060,1.0060,0.10%,开放申购,开放赎回
2016-07-18,1.0060,1.0060,0.00%,开放申购,开放赎回
2016-07-19,1.0060,1.0060,0.00%,开放申购,开放赎回
2016-07-20,1.0060,1.0060,0.00%,开放申购,开放赎回
2016-07-21,1.0060,1.0060,0.00%,开放申购,开放赎回
2016-07-22,1.0060,1.0060,0.00%,开放申购,开放赎回
2016-07-25,1.0060,1.0060,0.00%,开放申购,开放赎回
2016-07-26,1.0060,1.0060,0.00%,开放申购,开放赎回
2016-07-27,1.0070,1.0070,0.10%,开放申购,开放赎回
2016-07-28,1.0070,1.0070,0.00%,开放申购,开放赎回
2016-07-29,1.0070,1.0070,0.00%,开放申购,开放赎回
2016-08-01,1.0070,1.0070,0.00%,开放申购,开放赎回
2016-08-02,1.0070,1.0070,0.00%,开放申购,开放赎回
2016-08-03,1.0070,1.0070,0.00%,开放申购,开放赎回
2016-08-04,1.0080,1.0080,0.10%,开放申购,开放赎回
2016-08-05,1.0080,1.0080,0.00%,开放申购,开放赎回
2016-08-08,1.0080,1.0080,0.00%,开放申购,开放赎回
2016-08-09,1.0080,1.0080,0.00%,开放申购,开放赎回
2016-08-10,1.0080,1.0080,0.00%,开放申购,开放赎回
2016-08-11,1.0080,1.0080,0.00%,开放申购,开放赎回
2016-08-12,1.0080,1.0080,0.00%,开放申购,开放赎回
2016-08-15,1.0090,1.0090,0.10%,开放申购,开放赎回
2016-08-16,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-08-17,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-08-18,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-08-19,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-08-22,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-08-23,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-08-24,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-08-25,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-08-26,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-08-29,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-08-30,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-08-31,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-09-01,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-09-02,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-09-05,1.0100,1.0100,0.10%,开放申购,开放赎回
2016-09-06,1.0100,1.0100,0.00%,开放申购,开放赎回
2016-09-07,1.0100,1.0100,0.00%,开放申购,开放赎回
2016-09-08,1.0100,1.0100,0.00%,开放申购,开放赎回
2016-09-09,1.0100,1.0100,0.00%,开放申购,开放赎回
2016-09-12,1.0090,1.0090,-0.10%,开放申购,开放赎回
2016-09-13,1.0100,1.0100,0.10%,开放申购,开放赎回
2016-09-14,1.0100,1.0100,0.00%,开放申购,开放赎回
2016-09-19,1.0090,1.0090,-0.10%,开放申购,开放赎回
2016-09-20,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-09-21,1.0090,1.0090,0.00%,开放申购,开放赎回
2016-09-22,1.0100,1.0100,0.10%,开放申购,开放赎回
2016-09-23,1.0100,1.0100,0.00%,开放申购,开放赎回
2016-09-26,1.0100,1.0100,0.00%,开放申购,开放赎回
2016-09-27,1.0100,1.0100,0.00%,开放申购,开放赎回
2016-09-28,1.0100,1.0100,0.00%,开放申购,开放赎回
2016-09-29,1.0100,1.0100,0.00%,开放申购,开放赎回
2016-09-30,1.0110,1.0110,0.10%,开放申购,开放赎回
2016-10-10,1.0130,1.0130,0.20%,开放申购,开放赎回
2016-10-11,1.0130,1.0130,0.00%,开放申购,开放赎回
2016-10-12,1.0130,1.0130,0.00%,开放申购,开放赎回
2016-10-13,1.0130,1.0130,0.00%,开放申购,开放赎回
2016-10-14,1.0130,1.0130,0.00%,开放申购,开放赎回
2016-10-17,1.0120,1.0120,-0.10%,开放申购,开放赎回
2016-10-18,1.0130,1.0130,0.10%,开放申购,开放赎回
2016-10-19,1.0130,1.0130,0.00%,开放申购,开放赎回
2016-10-20,1.0130,1.0130,0.00%,开放申购,开放赎回
2016-10-21,1.0120,1.0120,-0.10%,开放申购,开放赎回
2016-10-24,1.0130,1.0130,0.10%,开放申购,开放赎回
2016-10-25,1.0130,1.0130,0.00%,开放申购,开放赎回
2016-10-26,1.0120,1.0120,-0.10%,开放申购,开放赎回
2016-10-27,1.0120,1.0120,0.00%,开放申购,开放赎回
2016-10-28,1.0110,1.0110,-0.10%,开放申购,开放赎回
2016-10-31,1.0110,1.0110,0.00%,开放申购,开放赎回
2016-11-01,1.0130,1.0130,0.20%,开放申购,开放赎回
2016-11-02,1.0140,1.0140,0.10%,开放申购,开放赎回
2016-11-03,1.0140,1.0140,0.00%,开放申购,开放赎回
2016-11-04,1.0140,1.0140,0.00%,开放申购,开放赎回
